Country Name,Country Code,Series Name,Series Code,2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Mexico,MEX,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,..,..,..,..,..,22.1045328233348,21.5700118151262,21.4036570594999,21.7321483828377,21.8738230943691,21.5513226653899,21.7977945820917,21.6481185366915,20.9948933817432,..
Mexico,MEX,"Net trade in goods and services (BoP, current US$)",BN.GSR.GNFS.CD,-11652711062,-15684214222.4388,-14730763431,-14085139407.7396,-18327291051.6552,-26184373507.8464,-14853352323.9408,-14329956442.1868,-16795635855.7023,-14613988397.2448,-14965550057.451,-16067818500.4181,-24335065189.7316,-21948059965.4492,-20774588684.1092
Mexico,MEX,GDP (current US$),NY.GDP.MKTP.CD,729336319677.449,782240601984.76,877476221382.101,975387131716.089,1052696282278.87,1109989038338.86,900045362045.362,1057801282051.28,1180489563964.49,1201090018603.59,1274443078609.46,1314385330073.35,1169622672463.29,1076912039691.17,1149918794765.73
Mexico,MEX,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,4.0394555694029,7.96171097710625,5.87392141103811,6.38922240841194,5.78906128340633,6.17250966292798,3.94766657555327,4.54514867642214,5.8428711423922,4.06593305466234,1.52972766389468,4.36758605027458,2.73606492781518,5.36277477340279,6.13385384867833
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,
Last Updated: 09/21/2018,,,,,,,,,,,,,,,,,,
